name
Amiga
Game Boy
Game Boy Advance
Game Gear
Genesis
Lynx
Sega Master System
Super Nintendo Entertainment System
Amstrad CPC
Apple II
Atari ST
Commodore 64
MSX
ZX Spectrum
Mac
PlayStation Portable
PlayStation 2
Xbox 360
Nintendo Entertainment System
PlayStation
GameCube
Atari 8-bit
Neo Geo
3DO
CD-i
Jaguar
Sega CD
VIC-20
Sega 32X
Xbox
N-Gage
PlayStation 3
Wii
Dreamcast
Apple IIgs
Amiga CD32
Atari 2600
Saturn
Nintendo 64
ColecoVision
TI-99/4A
Intellivision
Nintendo DS
TurboGrafx-CD
WonderSwan Color
TurboGrafx-16
Game Boy Color
Commodore 128
Neo Geo CD
Odyssey 2
Dragon 32/64
Commodore PET/CBM
TRS-80
Zodiac
WonderSwan
Channel F
Atari 5200
TRS-80 CoCo
Atari 7800
iPod
Odyssey
PC-FX
Vectrex
Game.Com
Gizmondo
Virtual Boy
Neo Geo Pocket
Neo Geo Pocket Color
V.Smile
Pinball
Arcade
NUON
Xbox Live Marketplace
Wii Shop
PlayStation Network (PS3)
Leapster
Microvision
Famicom Disk System
Pioneer LaserActive
Adventure Vision
PC
Sharp X68000
iPhone
Satellaview
Arcadia 2001
Aquarius
Nintendo 64DD
Pippin
R-Zone
HyperScan
Game Wave
DSiWare
RDI Halcyon
FM Towns
NEC PC-8801
BBC Micro
PLATO
NEC PC-9801
Sharp X1
FM-7
name
NEC PC-6001
PlayStation Network (PSP)
Nintendo 3DS
Sega Pico
SuperGrafx
Bally Astrocade
iPad
Zeebo
Android
Windows Phone
Acorn Archimedes
Casio Loopy
Bandai Playdia
Sharp MZ
PlayStation Vita
RCA Studio II
XaviXPORT
GamePark 32
Pokémon mini
Epoch Cassette Vision
Super Cassette Vision
Mega Duck
Nintendo 3DS eShop
Wii U
Browser
Sega SG-1000
Commodore CDTV
PlayStation Network (Vita)
Leapfrog Didj
Xbox One
PlayStation 4
Watara Supervision
Action Max
Casio PV-1000
Commodore 16
Super A'Can
Linux
Memorex MD 2500 VIS
Ouya
