name,system
Math Blaster: Episode 1 - In Search of Spot,PC
Steel Panthers III: Brigade Command (1939-1999),PC
Ancient Egyptian Mehen: The Forbidden Game of the Snake,PC
Castle Shikigami 2,PlayStation 2
Castle Shikigami 2,GameCube
Castle Shikigami 2,Xbox
Castle Shikigami 2,Dreamcast
Castle Shikigami 2,PlayStation Network (PS3)
Castle Shikigami 2,PC
SingStar '80s,PlayStation 2
Samurai Jack: The Shadow of Aku,PlayStation 2
Samurai Jack: The Shadow of Aku,GameCube
Deflektor,Amiga
Deflektor,Game Boy Advance
Deflektor,Amstrad CPC
Deflektor,Atari ST
Deflektor,Commodore 64
Deflektor,ZX Spectrum
The Archers,Amstrad CPC
The Archers,Commodore 64
The Archers,MSX
The Archers,ZX Spectrum
The Archers,Atari 8-bit
Ruff and Reddy in the Space Adventure,Amiga
Ruff and Reddy in the Space Adventure,Atari ST
Ruff and Reddy in the Space Adventure,Commodore 64
Ruff and Reddy in the Space Adventure,ZX Spectrum
Skydiving Extreme,PlayStation
Saboteur,Amstrad CPC
Saboteur,Commodore 64
Saboteur,ZX Spectrum
Saboteur,Commodore 16
Mensch Ärgere Dich Nicht!,PC
Fernandez Must Die,Amiga
Fernandez Must Die,Amstrad CPC
Fernandez Must Die,Atari ST
Fernandez Must Die,Commodore 64
Fernandez Must Die,ZX Spectrum
Balloon Fight,Game Boy Advance
Balloon Fight,Nintendo Entertainment System
Balloon Fight,Wii Shop
Balloon Fight,NEC PC-8801
Balloon Fight,Sharp MZ
Balloon Fight,Nintendo 3DS eShop
Balloon Fight,Wii U
The Immortal,Amiga
The Immortal,Genesis
The Immortal,Apple II
The Immortal,Atari ST
The Immortal,Nintendo Entertainment System
The Immortal,Apple IIgs
The Immortal,PC
Arabian Nights,Amiga
Arabian Nights,Amiga CD32
Miner 2049er Volume II,Atari 2600
B-Wings,Nintendo Entertainment System
B-Wings,Arcade
Thexder 95,PC
Flying Warriors,Nintendo Entertainment System
Power Instinct,Genesis
Power Instinct,Super Nintendo Entertainment System
